Empresa;Activos;Ingresos;Utilidad Neta
No encontrado;13.051.444;20.686.472;2.016.507
Agencia de alcohol el as ltdaagencia de alcohol el as ltda;12.569.021;25.044.810;2.222.743
No encontrado;12.569.021;25.044.810;2.222.743
No encontrado;No encontrado;No encontrado;No encontrado
Ferrelugue sas;56.234.572;103.642.014;526.533
No encontrado;56.234.572;103.642.014;526.533
Heinsohn business technology s.a bic;92.047.486;130.394.083;16.100.401
No encontrado;92.047.486;130.394.083;16.100.401
Inversiones porvenir sas;42.892.475;8.452.411;2.124.979
No encontrado;42.892.475;8.452.411;2.124.979
Rdr ltda rojas dueñas rojas ltda;7.204.092;396.241;218.746
No encontrado;7.204.092;396.241;218.746
Kimbaya ltda;3.685.188;71.636;242.682
No encontrado;3.685.188;71.636;242.682
Comercializadora surtialuminios sas;5.317.167;14.200.771;317.842
No encontrado;5.317.167;14.200.771;317.842
