Empresa;Activos;Ingresos;Utilidad Neta
Compañia nacional de soldaduras sas;14.500.557;18.076.438;847.350
No encontrado;14.500.557;18.076.438;847.350
Akita motos s.a.;59.041.759;59.432.809;9.942.919
No encontrado;59.041.759;59.432.809;9.942.919
Prodex s.as. en reorganizaciòn;3.462.769;8.119.077;63.503
No encontrado;3.462.769;8.119.077;63.503
Interhospitalaria sas;8.372.935;3.213.252;153.192
No encontrado;8.372.935;3.213.252;153.192
Mojica constructora s.a.;90.550.394;70.564.856;1.765.812
No encontrado;90.550.394;70.564.856;1.765.812
No encontrado;No encontrado;No encontrado;No encontrado
Procial bogota ltda;105.592.148;2.728.734;7.091.749
No encontrado;105.592.148;2.728.734;7.091.749
Pegantes urano sas;12.368.387;20.570.094;401.400
No encontrado;12.368.387;20.570.094;401.400
Estrategias sas;14.591.254;30.841.847;515.326
No encontrado;14.591.254;30.841.847;515.326
Agroganaderas lopez e hijos scs;6.284.876;0;2.234
No encontrado;6.284.876;0;2.234
Dexco sas;8.078.414;10.404.561;402.311
No encontrado;8.078.414;10.404.561;402.311
Termimoda s.a;5.908.256;9.919.894;282.537
No encontrado;5.908.256;9.919.894;282.537
Comercial offset guio y cia ltda;5.706.204;3.653.685;170.025
No encontrado;5.706.204;3.653.685;170.025
Calzado aliatti sas;4.715.276;6.915.623;4.176
No encontrado;4.715.276;6.915.623;4.176
Profrutales sas;2.330.429;2.119.721;87.157
No encontrado;2.330.429;2.119.721;87.157
Fire protection de colombia s.a.s;6.793.050;10.824.494;277.878
No encontrado;6.793.050;10.824.494;277.878
No encontrado;No encontrado;No encontrado;No encontrado
Blastingmar s.a.s;3.485.352;16.481.090;10.704.575
No encontrado;3.485.352;16.481.090;10.704.575
Proseguir s.a.s;85.640.075;12.484.472;11.700.135
No encontrado;85.640.075;12.484.472;11.700.135
Hosa s.a. en reorganizacion empresarial;158.726.256;108.989.815;18.227.714
No encontrado;158.726.256;108.989.815;18.227.714
Libreros potes sas;12.348.462;2.148.781;195.355
No encontrado;12.348.462;2.148.781;195.355
Proyectos construcciones y adecuaciones procoa sociedad por acciones simplificada;56.940.062;6.861.999;4.203.653
No encontrado;56.940.062;6.861.999;4.203.653
Plantidieseles sas;16.011.814;9.686.587;702.879
No encontrado;16.011.814;9.686.587;702.879
Embotelladora capri ltda en reorganizacion;31.855.295;62.458.503;1.455.230
No encontrado;31.855.295;62.458.503;1.455.230
Equipos y equipos sas;2.327.183;2.142.991;310.719
No encontrado;2.327.183;2.142.991;310.719
Posadabetancur sas;32.764.400;0;839.588
No encontrado;32.764.400;0;839.588
